,RANK,TOKEN,PRICE,AGE
60,61,Jail milei/SOL Milei the Prisondent,$0.0002995,6d
61,62,CPMM IMG/SOL Infinite Money Glitch,$0.003438,14d
62,63,V3 QR/WETH QR coin,$0.051120,27d
63,64,V3 PEPEC/WETH PEPE Clanker,$0.3963,3mo
64,65,$COLLAT/SOL Collaterize 30,$0.03545,1mo
65,66,Fartcoin/SOL Fartcoin,$0.3092,4mo
66,67,V2 ABSTER/WETH ABSTER,$0.003642,1mo
67,68,CLMM CAPYL/SOL capy laundry,$0.001226,1mo
68,69,T3AI/SOL TrustInWeb3,$0.002445,2mo
69,70,V2 HENLO/WBERA henlo,$0.0005692,2d
70,71,ANGLERFISH/SOL Black Devil,$0.003744,18d
71,72,V2 BORETT/WETH BORETT,$0.0002171,2mo
72,73,Meddy/SOL Meddy AI,$0.001140,1d
73,74,NAV/SOL Naivigator AI 130,$0.0002050,23h
74,75,HYPE/USDC HYPE,$17.18,3mo
75,76,V3 BRAIN/WETH Chad Brain,$0.048571,10d
76,77,V3 STAR10/WBNB Ronaldinho Coin,$0.06310,3d
77,78,pep/SOL smol pepe,$0.002182,27d
78,79,CPMM STORM/SOL Storm Money 500,$0.0003608,10d
79,80,Elvis/SOL Elvis,$0.0003462,2d
80,81,V2 NOOT/WETH Noot Noot,$0.01397,1mo
81,82,V2 Alf/WETH Based Alf,$0.048042,1mo
82,83,Butthole/SOL Butthole Coin,$0.01800,2mo
83,84,V3 Broccoli/WBNB Broccoli,$0.02857,20d
84,85,KET/WAVAX yellow ket,$0.3769,1mo
85,86,V2 CATCH/WETH catchcoin,$0.0009822,20d
86,87,DYN MAJOR/SOL Major Frog,$0.003619,4mo
87,88,DS/SOL DOGE SURVIVOR,$0.0006682,1d
88,89,V2 PENGU/WETH Pudgy Penguins,$0.006670,1mo
89,90,cbBTC/USDC Coinbase Wrapped BTC,"$90,529.58",-
90,91,WOOLLY/SOL Woolly Mouse 20,$0.0002744,1d
91,92,YzY/SOL Yeezy Coin,$0.003870,15d
92,93,? SENNA/SOL Memory for Senna,$0.002718,1mo
93,94,ALCH/SOL Alchemist AI,$0.05121,3mo
94,95,? V2 LGNS/DAI Longinus,$20.52,11mo
95,96,WHISP/SOL WHISP,$0.005015,1mo
96,97,DYN CATBAT/SOL CATBAT,$0.002512,4mo
97,98,V2 Labz/WETH Insane Labz (Base),$0.0004215,3mo
98,99,HOOTERS/SOL Hooter's CTO,$0.0006076,12d
99,100,V3 KAITO/WETH KAITO,$1.77,13d
